type	lat	lon	name	desc
T	45.461970000	9.243180000		
T	45.461960000	9.243740000		
T	45.461960000	9.243910000		
T	45.461960000	9.244000000		
T	45.461960000	9.244110000		
T	45.461970000	9.244320000		
T	45.461960000	9.244740000		
T	45.461950000	9.245250000		
T	45.461950000	9.245380000		
T	45.461950000	9.245490000		
T	45.461950000	9.245490000		
T	45.461910000	9.245610000		
T	45.461900000	9.245660000		
T	45.461880000	9.245740000		
T	45.461860000	9.245920000		
T	45.461860000	9.245920000		
T	45.461810000	9.246000000		
T	45.461800000	9.246070000		
T	45.461700000	9.246510000		
T	45.461550000	9.247160000		
T	45.461410000	9.247780000		
T	45.461230000	9.248540000		
T	45.461130000	9.248970000		
T	45.461070000	9.249140000		
T	45.460980000	9.249400000		
T	45.460940000	9.249510000		
T	45.460850000	9.249710000		
T	45.460770000	9.249850000		
T	45.460700000	9.249970000		
T	45.460620000	9.250070000		
T	45.460550000	9.250150000		
T	45.460460000	9.250240000		
T	45.460390000	9.250290000		
T	45.460290000	9.250360000		
T	45.460190000	9.250430000		
T	45.460140000	9.250460000		
T	45.460090000	9.250480000		
T	45.459910000	9.250570000		
T	45.459780000	9.250630000		
T	45.459760000	9.250640000		
T	45.459670000	9.250690000		
T	45.459140000	9.250930000		
T	45.458720000	9.251130000		
T	45.458530000	9.251230000		
T	45.458390000	9.251310000		
T	45.458340000	9.251340000		
T	45.458250000	9.251390000		
T	45.458240000	9.251400000		
T	45.458110000	9.251480000		
T	45.457870000	9.251620000		
T	45.457550000	9.251830000		
T	45.457380000	9.251940000		
T	45.457240000	9.252040000		
T	45.456910000	9.252260000		
T	45.456550000	9.252510000		
T	45.456440000	9.252610000		
T	45.456330000	9.252680000		
T	45.456290000	9.252720000		
T	45.456280000	9.252740000		
T	45.456270000	9.252750000		
T	45.456210000	9.252870000		
T	45.454840000	9.254020000		
T	45.454560000	9.254260000		
T	45.454240000	9.254530000		
T	45.454050000	9.254680000		
T	45.453770000	9.254920000		
T	45.453530000	9.255110000		
T	45.453330000	9.255280000		
T	45.453310000	9.255300000		
T	45.452930000	9.255610000		
T	45.452680000	9.255830000		
T	45.452050000	9.256350000		
T	45.451590000	9.256730000		
T	45.450720000	9.257460000		
T	45.450530000	9.257620000		
T	45.450430000	9.257700000		
T	45.450300000	9.257790000		
T	45.450140000	9.257900000		
T	45.449830000	9.258090000		
T	45.449790000	9.258110000		
T	45.449670000	9.258170000		
T	45.449480000	9.258260000		
T	45.449280000	9.258350000		
T	45.449230000	9.258370000		
T	45.449110000	9.258420000		
T	45.448970000	9.258480000		
T	45.448790000	9.258540000		
T	45.448690000	9.258560000		
T	45.448540000	9.258590000		
T	45.448250000	9.258650000		
T	45.448080000	9.258680000		
T	45.447930000	9.258690000		
